"owner_id","frequency","avg_mensal_income","avg_mensal_expenses","avg_transaction_count","owner_ager","account_age","min_balance","max_balance","gender","birth_year","name","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","diffUnemploymant","avgUnemploymant","diffCrimes","avgCrimes","ratioCrimes","loan_id","amount","duration","payments","status","type"
2550,2,13798.9,15611.7333333333,4.75,24,4,400,43218.7,1,1976,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5375,101520,12,8460,1,1
2592,2,22735.5875,22039.3,3.875,20,4,700,76403.1,1,1980,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5385,71460,36,1985,1,1
2606,3,32343.1090909091,33572.3,6.45454545454545,57,4,200,73559.9,2,1943,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,5388,61560,12,5130,1,1
2623,2,24772.9533333333,25253.1846153846,5.13333333333333,35,7,200,79869.8,1,1965,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,5390,170256,24,7094,1,1
2635,2,58054.2357142857,61023.8923076923,9,34,7,500,193909.9,1,1966,"Bruntal","north Moravia",106054,63.1,8110,5.77,6.55,109,3244,3079,0.78,6.16,-165,3161.5,0.0298102853263432,5395,299088,36,8308,-1,1
2686,2,41292.1384615385,41504.1833333333,4.53846153846154,49,6,600,110447.5,1,1951,"Prachatice","south Bohemia",51428,52.7,8402,3.13,3.98,120,999,1099,0.85,3.555,100,1049,0.0203974488605429,5409,182040,60,3034,1,1
2698,3,35100.8894736842,40336.5625,5.45,30,6,300,122342.1,1,1970,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,5413,92976,24,3874,1,1
2700,2,19231.5461538462,16762.5,2.61538461538462,55,6,700,145318.2,2,1945,"Chomutov","north Bohemia",125236,87.7,9675,6.43,7.68,100,5323,5190,1.25,7.055,-133,5256.5,0.0419727554377336,5414,185952,48,3874,1,1
2708,2,10490.2285714286,8766.66666666667,2.21428571428571,42,5,300,65062.8,2,1958,"Opava","north Moravia",182027,56.4,8746,3.33,3.74,90,4355,4433,0.41,3.535,78,4394,0.0241392760414664,5415,139464,36,3874,-1,1
2719,2,37966.3181818182,38885.62,5.21739130434783,36,7,300,123013.2,1,1964,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,5418,347952,48,7249,1,1
2746,2,24494.7666666667,22071.8352941176,5.33333333333333,29,5,200,77158.8,2,1971,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5429,20196,36,561,1,1
2809,2,40527.5833333333,41526.094117647,9.88888888888889,21,5,900,119892.5,2,1979,"Decin","north Bohemia",133777,84.7,8705,5.75,7.61,116,4650,4859,1.86,6.68,209,4754.5,0.0355404890227767,5445,46320,24,1930,1,1
2831,2,11679.0727272727,10849.5111111111,4.72727272727273,20,6,300,46568,1,1980,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,5449,99336,24,4139,1,1
2834,2,20145.9,21843.2,5.28571428571429,51,7,500,62238.8,2,1949,"Kolin","central Bohemia",95616,51.4,9307,3.85,4.43,118,2616,3040,0.58,4.14,424,2828,0.029576639892905,5450,199680,60,3328,1,1
2843,2,20477.04375,20186.5,6.875,34,5,300,74419.8,1,1966,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,5452,49440,60,824,1,1
2853,2,9706.20714285714,10237.7636363636,5.35714285714286,44,6,500,41876.9,1,1956,"Plzen - sever","west Bohemia",72541,36.9,8594,1.62,2.01,112,1580,1525,0.39,1.815,-55,1552.5,0.0214016900787141,5453,156672,36,4352,1,1
2922,2,50592.7666666667,49027.9285714286,6,60,7,900,122452.2,2,1940,"Karlovy Vary","west Bohemia",122603,80,8991,1.39,2.01,128,5198,5273,0.62,1.7,75,5235.5,0.0427028702397168,5464,95808,12,7984,1,1
2966,2,27098.9125,28226.6333333333,4.375,45,5,600,83553.5,2,1955,"Znojmo","south Moravia",114200,43.7,8403,5.74,5.72,105,2157,2718,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,5470,200976,48,4187,1,1
3001,2,57335,55202.88,6.63636363636364,42,7,200,125254.2,2,1958,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5479,24516,12,2043,1,1
3013,2,9427.35238095238,9222.57894736842,5.52380952380952,50,6,1100,37946.3,1,1950,"Trutnov","east Bohemia",121947,70.5,8541,2.51,2.97,131,3496,3839,0.46,2.74,343,3667.5,0.030074540579104,5482,165120,60,2752,1,1
3103,1,52270.305,51612.6631578947,6.8,27,6,600,126072,1,1973,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,5494,360000,48,7500,1,1
3113,2,13703.9555555556,11687.5714285714,4.88888888888889,29,5,500,54020.1,1,1971,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,5495,89340,60,1489,1,1
3251,2,19764.55,18555.7090909091,5.38461538461539,38,7,700,64577.8,1,1962,"Melnik","central Bohemia",94725,63.4,9920,2.26,2.87,130,4289,4846,0.61,2.565,557,4567.5,0.0482185273159145,5519,91632,12,7636,1,1
3264,1,17003.28,12575,3.16666666666667,50,7,600,52378.2,1,1950,"Vyskov","south Moravia",86513,50.5,8288,3.79,4.52,110,1562,1460,0.73,4.155,-102,1511,0.0174655832071481,5523,93888,36,2608,1,1
3335,2,62003.6,66782.8266666666,8.94117647058824,33,7,500,141386,2,1967,"Prachatice","south Bohemia",51428,52.7,8402,3.13,3.98,120,999,1099,0.85,3.555,100,1049,0.0203974488605429,5533,111384,24,4641,1,1
3414,2,15821.44,14585.425,4.3,53,7,800,51971.4,1,1947,"Praha - zapad","central Bohemia",75637,36.5,9622,0.45,0.59,154,3475,3529,0.14,0.52,54,3502,0.046300091225194,5549,50460,60,841,1,1
3519,2,43908.525,53351.3,5.45,51,6,1100,147375.1,2,1949,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,5563,380160,60,6336,1,1
3542,2,38974.6333333333,39789.5818181818,7,61,7,1100,121891.4,2,1939,"Praha - vychod","central Bohemia",92084,46.7,10124,0.56,0.54,141,3810,4316,-0.02,0.55,506,4063,0.0441227574822988,5568,272520,60,4542,1,1
3576,2,42884.44,42303.4842105263,6,61,7,1000,144715.3,1,1939,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5576,31248,12,2604,1,1
3616,2,22238.26,24150,2.8,36,4,900,62891.3,1,1964,"Vsetin","north Moravia",148545,53.5,8909,4.01,5.56,113,3460,3590,1.55,4.785,130,3525,0.0237301827728971,5586,48744,36,1354,1,1
3649,2,18686.35,17863.4,3.33333333333333,41,4,300,62153.6,1,1959,"Praha - vychod","central Bohemia",92084,46.7,10124,0.56,0.54,141,3810,4316,-0.02,0.55,506,4063,0.0441227574822988,5591,155616,48,3242,1,1
3670,2,27519.347826087,31066.55,4.875,20,6,1000,129394.2,1,1980,"Chrudim","east Bohemia",105606,53,8254,2.79,3.76,97,2166,2325,0.97,3.275,159,2245.5,0.0212629964206579,5593,277884,36,7719,-1,1
3687,2,43893.725,46729.5428571428,7.875,28,7,900,107680.9,2,1972,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,5595,82896,12,6908,1,2
3705,2,11007.3304347826,10538.1523809524,6.56521739130435,35,7,1000,41137.4,1,1965,"Teplice","north Bohemia",128118,85.3,9317,6.49,7.07,97,6949,6872,0.58,6.78,-77,6910.5,0.0539385566430946,5599,15420,12,1285,1,1
3730,3,21457.3125,22620,3.625,55,4,300,111044.2,1,1945,"Kromeriz","south Moravia",108871,62.1,8444,3.24,3.47,106,2595,2305,0.23,3.355,-290,2450,0.0225036970359416,5606,253512,36,7042,-1,1
3763,2,42922.047368421,43408.1176470588,6.73684210526316,23,6,700,138433.7,1,1977,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,5610,123216,48,2567,1,1
3767,2,30745.2555555556,29940.475,4.22222222222222,64,4,700,90257.3,2,1936,"Ceske Budejovice","south Bohemia",177686,74.8,10045,1.42,1.71,135,6604,6295,0.29,1.565,-309,6449.5,0.0362971759170672,5611,321180,60,5353,1,1
3829,2,18146.8055555556,20827.46,5.27777777777778,28,7,-2485.5,89733.5,2,1972,"Novy Jicin","north Moravia",161227,69.7,8678,5.93,5.57,102,4980,4595,-0.359999999999999,5.75,-385,4787.5,0.0296941579264019,5624,177744,48,3703,-1,1
3855,2,26835.1142857143,24316.3538461538,4.21428571428571,61,5,800,130659.1,2,1939,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,5625,222180,60,3703,-1,1
3907,2,30096.3894736842,34336.5875,3.85,46,5,200,142917.9,1,1954,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5635,77184,36,2144,1,1
4056,2,11299.7555555556,13199.5666666667,5.11111111111111,48,7,800,41106.2,1,1952,"Vyskov","south Moravia",86513,50.5,8288,3.79,4.52,110,1562,1460,0.73,4.155,-102,1511,0.0174655832071481,5657,4980,12,415,1,1
4217,2,16008.9125,16740.56,4,49,6,1000,55576.8,1,1951,"Nymburk","central Bohemia",81344,55.3,8899,3.39,3.97,149,2987,2487,0.58,3.68,-500,2737,0.0336472265932337,5693,44088,24,1837,1,1
4352,3,20889.7045454545,20485.8095238095,5.90909090909091,29,6,500,113865.5,2,1971,"Olomouc","north Moravia",226122,62.6,8994,3.8,4.79,110,9672,9208,0.99,4.295,-464,9440,0.041747375310673,5706,161496,36,4486,1,1
4377,2,17212.2,17938.0095238095,7.21739130434783,22,7,900,59898.4,2,1978,"Rychnov nad Kneznou","east Bohemia",78955,59,9060,1.78,2.44,124,1655,1717,0.66,2.11,62,1686,0.0213539357862073,5713,158760,60,2646,1,1
4428,2,32078.3444444444,30194.9294117647,5.78947368421053,46,7,1000,140228.7,2,1954,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,5723,23628,12,1969,1,1
4433,2,11978.9,13135.14,6.04347826086957,32,7,800,39616.2,2,1968,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5724,316140,60,5269,-1,1
4434,2,18894.475,18498.96,5.33333333333333,36,5,800,62903.5,2,1964,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,5725,444864,48,9268,1,1
4520,2,11492.4,9826.05714285714,5.625,43,6,1100,41703.3,1,1957,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5739,76380,12,6365,1,1
4527,2,15493.14,8550,2.6,37,6,200,56498.4,1,1963,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5740,18564,12,1547,1,1
4529,3,28162.8777777778,28717,6,24,4,900,94207.7,2,1976,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,5741,68544,24,2856,1,1
4584,2,34799.6043478261,35746.7523809524,7.1304347826087,51,6,13097.7,86343.2,1,1949,"Melnik","central Bohemia",94725,63.4,9920,2.26,2.87,130,4289,4846,0.61,2.565,557,4567.5,0.0482185273159145,5750,63252,12,5271,1,1
4620,2,15411.0857142857,15531.6315789474,8.14285714285714,60,7,700,54321.8,1,1940,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,5754,23052,12,1921,1,1
4916,2,39892.4117647059,43952.76,9.17647058823529,61,7,600,130293.2,2,1939,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,5804,158976,48,3312,1,1
4918,2,11151.96,6866.66666666667,2.4,32,5,600,43259.7,2,1968,"Praha - zapad","central Bohemia",75637,36.5,9622,0.45,0.59,154,3475,3529,0.14,0.52,54,3502,0.046300091225194,5805,137904,24,5746,-1,1
5133,2,48892.5,38679,3.2,41,6,900,119373.5,1,1959,"Zdar nad Sazavou","south Moravia",125832,48.3,8512,3.51,4.12,102,2247,2103,0.61,3.815,-144,2175,0.0172849513637231,5836,79632,24,3318,1,1
5134,2,24912.3222222222,28983.5428571429,4.66666666666667,33,7,1000,72512.5,1,1967,"Breclav","south Moravia",124605,46,8772,4.69,4.98,126,2854,3158,0.29,4.835,304,3006,0.0241242325749368,5837,244560,60,4076,1,1
5224,2,34903.5153846154,36776.9818181818,4.92307692307692,51,7,900,137087.2,2,1949,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,5861,51408,24,2142,1,1
5318,3,33677.3538461538,33874.25,5.46153846153846,32,6,1100,106144.8,2,1968,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,5876,221280,48,4610,1,1
5320,2,12793.3222222222,13175.0125,6.22222222222222,49,7,1000,43393,1,1951,"Karlovy Vary","west Bohemia",122603,80,8991,1.39,2.01,128,5198,5273,0.62,1.7,75,5235.5,0.0427028702397168,5877,97224,24,4051,1,1
5333,2,27493.3,31250,2.71428571428571,33,5,900,129607.8,1,1967,"Most","north Bohemia",119895,89.9,10446,7.34,9.4,90,4947,4743,2.06,8.37,-204,4845,0.0404103590641812,5880,73836,36,2051,1,1
5337,2,12404.1625,14061.6153846154,5.25,39,7,800,43442.2,2,1961,"Ceska Lipa","north Bohemia",105058,81,9272,2.8,3.22,118,4340,4505,0.42,3.01,165,4422.5,0.0420957947038779,5882,87816,12,7318,1,1
5364,2,42911.06,46689.05,5.2,36,4,200,128778.8,2,1964,"Uherske Hradiste","south Moravia",145688,40.7,8544,1.29,1.86,109,2719,2906,0.57,1.575,187,2812.5,0.0193049530503542,5886,192744,36,5354,1,1
5366,2,19061.13125,19711.3571428571,4.75,29,7,700,121508.1,1,1971,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,5887,192744,36,5354,1,1
5384,3,17098.24,16866.6666666667,2,65,5,900,77551,2,1935,"Opava","north Moravia",182027,56.4,8746,3.33,3.74,90,4355,4433,0.41,3.535,78,4394,0.0241392760414664,5892,66480,24,2770,-1,1
5399,2,15439.1391304348,16083.2476190476,7.34782608695652,28,6,500,48157.1,1,1972,"Karlovy Vary","west Bohemia",122603,80,8991,1.39,2.01,128,5198,5273,0.62,1.7,75,5235.5,0.0427028702397168,5897,15192,24,633,1,1
5433,2,50278.3666666667,54847.14,6.41666666666667,25,5,200,146479.5,2,1975,"Svitavy","east Bohemia",102609,52,8187,4.83,5.45,94,2123,2134,0.62,5.14,11,2128.5,0.0207437944039996,5900,135360,48,2820,1,4
