"owner_id","frequency","avg_mensal_income","avg_mensal_expenses","avg_transaction_count","owner_ager","account_age","min_balance","max_balance","gender","birth_year","name","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","diffUnemploymant","avgUnemploymant","diffCrimes","avgCrimes","ratioCrimes","amount","duration","payments","status","type"
62,"monthly issuance",4375.04736842105,3972.93333333333,4.10526315789474,68,5,700,27049.6,"Male",1932,"Vsetin","north Moravia",148545,53.5,8909,4.01,5.56,113,3460,3590,1.55,4.785,130,3525,0.0237301827728971,0,0,0,0,""
63,"monthly issuance",3528.08,3479.6,4.45,41,5,1000,21631.9,"Male",1959,"Kladno","central Bohemia",149893,67.4,9753,4.64,5.05,109,5244,5892,0.41,4.845,648,5568,0.0371464978351224,0,0,0,0,""
64,"monthly issuance",4276.03636363636,4224.6,2.90909090909091,74,4,300,23445,"Male",1926,"Strakonice","south Bohemia",70646,58.4,8547,2.65,3.64,120,1563,1542,0.99,3.145,-21,1552.5,0.0219757664977493,0,0,0,0,""
65,"monthly issuance",15794.75625,15361.7483870968,4.96875,57,6,900,54275.3,"Female",1943,"Svitavy","east Bohemia",102609,52,8187,4.83,5.45,94,2123,2134,0.62,5.14,11,2128.5,0.0207437944039996,0,0,0,0,""
66,"monthly issuance",22560.865,21890.7368421053,5.45,49,5,700,74238.3,"Female",1951,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
67,"monthly issuance",4770.04,700,1.4,68,4,600,23816,"Female",1932,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,0,0,0,0,""
68,"monthly issuance",15838.7911764706,15456.5125,6.38235294117647,54,6,600,65210.7,"Male",1946,"Hradec Kralove","east Bohemia",161854,76.3,9425,1.72,2.5,125,4085,3891,0.78,2.11,-194,3988,0.0246394899106602,0,0,0,0,""
70,"monthly issuance",4003.73783783784,3935.7875,5.2972972972973,75,7,700,31764.7,"Male",1925,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,0,0,0,0,""
72,"monthly issuance",5084.72173913043,5304.42926829269,5.04347826086957,77,7,1100,36365.9,"Male",1923,"Pardubice","east Bohemia",162580,72.8,9538,1.51,1.81,111,6079,5410,0.3,1.66,-669,5744.5,0.0353333743387871,0,0,0,0,""
76,"monthly issuance",20732.8,9150,2.33333333333333,33,4,600,61585.3,"Female",1967,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,0,0,0,0,""
77,"issuance after transaction",49226.7,49225.1388888889,5.10810810810811,44,7,400,129812.6,"Female",1956,"Rychnov nad Kneznou","east Bohemia",78955,59,9060,1.78,2.44,124,1655,1717,0.66,2.11,62,1686,0.0213539357862073,0,0,0,0,"classic"
78,"monthly issuance",42802.2,43864.0222222222,6.57894736842105,56,6,700,107069.6,"Female",1944,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,165960,24,6915,1,""
79,"issuance after transaction",37204.68,34582.875,7.76,31,6,200,112710,"Female",1969,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,0,0,0,0,""
80,"monthly issuance",10512.9416666667,8819.6,5.41666666666667,21,4,600,71708,"Female",1979,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,0,0,0,0,""
81,"monthly issuance",10003.3782608696,9350.60952380953,4.91304347826087,24,5,500,48087.2,"Male",1976,"Mlada Boleslav","central Bohemia",112065,69.4,11277,1.25,1.44,127,5179,4987,0.19,1.345,-192,5083,0.0453576049614063,0,0,0,0,""
83,"monthly issuance",23889.6529411765,23791.875,8.17647058823529,22,6,700,75377.7,"Female",1978,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,"junior"
85,"weekly issuance",57316.4285714286,58737.5,7.14285714285714,39,4,1100,120331.9,"Male",1961,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
87,"monthly issuance",21185.5921052632,21096.9555555555,5.73684210526316,54,7,400,67129.5,"Female",1946,"Olomouc","north Moravia",226122,62.6,8994,3.8,4.79,110,9672,9208,0.99,4.295,-464,9440,0.041747375310673,0,0,0,0,"classic"
89,"monthly issuance",13344.8882352941,12893.5466666667,4.88235294117647,49,5,700,49848.3,"Female",1951,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
90,"monthly issuance",9654.6375,9293.56,3.875,25,4,200,44113.4,"Male",1975,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,0,0,0,0,""
92,"monthly issuance",19144.6952380952,19244.945,5.80952380952381,34,7,400,57055.9,"Female",1966,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,0,0,0,0,""
94,"monthly issuance",3269.79375,3103.69090909091,3.5,53,5,900,20313,"Male",1947,"Hradec Kralove","east Bohemia",161854,76.3,9425,1.72,2.5,125,4085,3891,0.78,2.11,-194,3988,0.0246394899106602,0,0,0,0,""
96,"monthly issuance",5757.96666666667,3229.8,3.33333333333333,28,4,1000,29668.3,"Male",1972,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,0,0,0,0,""
97,"monthly issuance",39881.790625,38829.6387096774,5.6875,35,6,300,161573.6,"Male",1965,"Plzen - mesto","west Bohemia",170449,100,10787,2.64,3.09,131,6041,6261,0.45,2.865,220,6151,0.0360870406983907,0,0,0,0,""
98,"monthly issuance",10719.4355555556,10881.9534883721,6.37777777777778,27,7,500,42434.7,"Female",1973,"Plzen - mesto","west Bohemia",170449,100,10787,2.64,3.09,131,6041,6261,0.45,2.865,220,6151,0.0360870406983907,0,0,0,0,""
100,"issuance after transaction",41225.3692307692,37664.3333333333,5.23076923076923,58,5,1100,133183.8,"Female",1942,"Chrudim","east Bohemia",105606,53,8254,2.79,3.76,97,2166,2325,0.97,3.275,159,2245.5,0.0212629964206579,0,0,0,0,""
102,"monthly issuance",3333.37391304348,3066.31428571429,5.69565217391304,42,7,800,26253.8,"Female",1958,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,0,0,0,0,""
105,"monthly issuance",3480.81666666667,2687.6,3,20,4,300,18536.9,"Male",1980,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,0,0,0,0,""
107,"monthly issuance",26576.2733333333,27126.0571428571,8.16666666666667,28,6,500,74106.5,"Male",1972,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
110,"monthly issuance",9021.51428571429,6088.76,3.57142857142857,33,4,500,36483.7,"Female",1967,"Benesov","central Bohemia",88884,46.7,8507,1.67,1.85,132,2159,2674,0.18,1.76,515,2416.5,0.027187120291616,0,0,0,0,""
112,"monthly issuance",25225.1909090909,24334.41,4.36363636363636,65,5,200,97808.3,"Male",1935,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,"classic"
114,"monthly issuance",47671.2276595745,47276.047826087,8.93617021276596,31,7,1100,129261.8,"Female",1969,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,0,0,0,0,"classic"
120,"monthly issuance",26890.1,25106.5647058823,4.89473684210526,24,5,600,109950.7,"Male",1976,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
121,"monthly issuance",13863.3567567568,13156.8914285714,6.40540540540541,22,7,600,63498.2,"Female",1978,"Usti nad Labem","north Bohemia",118650,85.6,9832,3.32,4.48,114,6445,5471,1.16,3.9,-974,5958,0.0502149178255373,0,0,0,0,""
122,"monthly issuance",18530.2777777778,18221.6285714286,4.33333333333333,37,4,1000,62457.3,"Female",1963,"Jablonec n. Nisou","north Bohemia",88768,80.5,8867,1.02,1.21,130,3384,3620,0.19,1.115,236,3502,0.0394511535688536,0,0,0,0,""
123,"monthly issuance",12668.75,14089,4.1025641025641,31,7,400,96777.1,"Male",1969,"Praha - zapad","central Bohemia",75637,36.5,9622,0.45,0.59,154,3475,3529,0.14,0.52,54,3502,0.046300091225194,0,0,0,0,""
125,"monthly issuance",3073.16888888889,2974.6,5.42222222222222,64,7,500,26349.3,"Male",1936,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,0,0,0,0,""
128,"monthly issuance",18952.6769230769,18157.664,5.23076923076923,27,6,500,67012,"Female",1973,"Vyskov","south Moravia",86513,50.5,8288,3.79,4.52,110,1562,1460,0.73,4.155,-102,1511,0.0174655832071481,0,0,0,0,"classic"
129,"monthly issuance",8836.45263157895,8421.45555555556,7.5,53,7,1000,48159.2,"Female",1947,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,0,0,0,0,""
130,"monthly issuance",17195.8045454545,17171.3789473684,4.90909090909091,58,5,800,66997.3,"Male",1942,"Blansko","south Moravia",107911,50.9,8240,2.53,3.56,99,1850,1903,1.03,3.045,53,1876.5,0.0173893300960977,0,0,0,0,""
134,"monthly issuance",6678.21086956522,6918.19523809524,5.28260869565217,68,7,200,35490.4,"Male",1932,"Kutna Hora","central Bohemia",77963,51.5,8546,2.95,4.02,126,2640,3120,1.07,3.485,480,2880,0.0369406000282185,0,0,0,0,""
136,"monthly issuance",5463.35,6500.6,1.83333333333333,79,4,600,32685,"Female",1921,"Brno - venkov","south Moravia",157042,33.9,8743,1.88,2.43,111,3659,3894,0.55,2.155,235,3776.5,0.0240477069828454,0,0,0,0,""
138,"monthly issuance",9002.91086956522,8697.87441860465,5.23913043478261,28,7,800,50977.9,"Female",1972,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,0,0,0,0,""
139,"monthly issuance",23587.26,24782.25,4.2,41,4,800,68893.3,"Female",1959,"Mlada Boleslav","central Bohemia",112065,69.4,11277,1.25,1.44,127,5179,4987,0.19,1.345,-192,5083,0.0453576049614063,0,0,0,0,""
141,"monthly issuance",5007.83,4888.87777777778,5.05,75,7,900,31744.5,"Male",1925,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,0,0,0,0,""
143,"monthly issuance",23171.0159090909,22487.1023255814,5.65909090909091,22,7,800,63811.9,"Male",1978,"Plzen - jih","west Bohemia",67298,43.8,8561,0.65,1.29,110,1029,1127,0.64,0.97,98,1078,0.0160183066361556,0,0,0,0,""
144,"weekly issuance",44625.2894736842,42392.6666666667,6.42105263157895,42,5,1100,131889.2,"Male",1958,"Znojmo","south Moravia",114200,43.7,8403,5.74,5.72,105,2157,2718,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,0,0,0,0,""
146,"monthly issuance",19169.7333333333,8800,2.33333333333333,39,4,900,55711.1,"Female",1961,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,0,0,0,0,""
147,"monthly issuance",4802.99130434783,5009.13658536586,4.65217391304348,67,7,200,27494.4,"Female",1933,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,0,0,0,0,""
150,"issuance after transaction",39057.075,20266.6666666667,4.25,20,4,200,107571.6,"Female",1980,"Benesov","central Bohemia",88884,46.7,8507,1.67,1.85,132,2159,2674,0.18,1.76,515,2416.5,0.027187120291616,0,0,0,0,""
151,"monthly issuance",25568.3897435897,26023.3837837838,5.12820512820513,29,7,200,112359,"Female",1971,"Kolin","central Bohemia",95616,51.4,9307,3.85,4.43,118,2616,3040,0.58,4.14,424,2828,0.029576639892905,0,0,0,0,""
152,"monthly issuance",3439.9,3463.37419354839,4.62857142857143,55,6,600,23672.6,"Female",1945,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,0,0,0,0,""
153,"monthly issuance",6353.67021276596,5755.50909090909,5.70212765957447,19,7,300,73884.4,"Female",1981,"Benesov","central Bohemia",88884,46.7,8507,1.67,1.85,132,2159,2674,0.18,1.76,515,2416.5,0.027187120291616,0,0,0,0,"junior"
157,"monthly issuance",11794.6263157895,11657.3529411765,5.10526315789474,57,5,5496,43338.7,"Female",1943,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,0,0,0,0,""
158,"issuance after transaction",44940.1333333333,38146.6,5.16666666666667,55,4,200,103239,"Female",1945,"Teplice","north Bohemia",128118,85.3,9317,6.49,7.07,97,6949,6872,0.58,6.78,-77,6910.5,0.0539385566430946,88440,12,7370,1,""
162,"monthly issuance",5871.26744186046,5393.71282051282,4.76744186046512,59,7,700,51182.2,"Male",1941,"Prerov","north Moravia",138032,64.6,8819,5.38,5.66,99,4063,4505,0.28,5.52,442,4284,0.0310362814419845,0,0,0,0,""
163,"monthly issuance",5705.0875,4439.45,2.625,67,4,600,32061.1,"Male",1933,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,0,0,0,0,""
164,"monthly issuance",21548.2333333333,15284.32,3.16666666666667,38,4,900,81957.5,"Female",1962,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,0,0,0,0,""
165,"monthly issuance",2800,2057.14285714286,1,32,5,1100,20700,"Male",1968,"Domazlice","west Bohemia",58400,52.4,8620,1.1,1.25,100,1089,1117,0.15,1.175,28,1103,0.0188869863013699,0,0,0,0,""
168,"monthly issuance",4348.35714285714,3020,1.85714285714286,24,4,300,29988,"Female",1976,"Karlovy Vary","west Bohemia",122603,80,8991,1.39,2.01,128,5198,5273,0.62,1.7,75,5235.5,0.0427028702397168,0,0,0,0,""
169,"monthly issuance",33501.32,33860.7333333333,5.8,47,4,900,89664.9,"Male",1953,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,0,0,0,0,""
171,"monthly issuance",4555.71276595745,4601.02857142857,4.78723404255319,71,7,900,28892.5,"Male",1929,"Trutnov","east Bohemia",121947,70.5,8541,2.51,2.97,131,3496,3839,0.46,2.74,343,3667.5,0.030074540579104,0,0,0,0,""
175,"monthly issuance",9053.56666666667,8081.86666666666,4.83333333333333,40,4,1100,45474.1,"Male",1960,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,0,0,0,0,""
176,"monthly issuance",6398.8225,6246.12777777778,4.725,71,7,500,32376.4,"Male",1929,"Kladno","central Bohemia",149893,67.4,9753,4.64,5.05,109,5244,5892,0.41,4.845,648,5568,0.0371464978351224,0,0,0,0,""
178,"monthly issuance",3462.22558139535,3464.44210526316,6.41860465116279,40,7,500,23301.2,"Male",1960,"Mlada Boleslav","central Bohemia",112065,69.4,11277,1.25,1.44,127,5179,4987,0.19,1.345,-192,5083,0.0453576049614063,0,0,0,0,""
180,"monthly issuance",6130.54545454546,1906.70526315789,4.81818181818182,18,5,1900,98659.1,"Male",1982,"Opava","north Moravia",182027,56.4,8746,3.33,3.74,90,4355,4433,0.41,3.535,78,4394,0.0241392760414664,0,0,0,0,""
181,"monthly issuance",6292.1725,6463.50270270271,6.475,33,7,1000,34425.3,"Male",1967,"Sumperk","north Moravia",127369,51.2,8369,4.73,5.88,107,3736,2807,1.15,5.305,-929,3271.5,0.0256852138275405,0,0,0,0,""
183,"monthly issuance",6847.34444444444,7872.4,4.55555555555556,22,4,1100,35745.9,"Female",1978,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
185,"monthly issuance",14892.51,14934,5.275,46,7,400,53038.7,"Male",1954,"Vsetin","north Moravia",148545,53.5,8909,4.01,5.56,113,3460,3590,1.55,4.785,130,3525,0.0237301827728971,0,0,0,0,""
186,"monthly issuance",15155.6096774194,13784.6413793103,5.51612903225806,39,6,900,71202.7,"Female",1961,"Nachod","east Bohemia",112709,73.5,8369,1.79,2.31,117,2854,2618,0.52,2.05,-236,2736,0.0242749026253449,0,0,0,0,""
187,"monthly issuance",6505.90714285714,5854.36363636364,4.78571428571429,58,5,300,38531.8,"Male",1942,"Jihlava","south Moravia",109164,63.6,8757,3.38,3.95,96,2212,2471,0.57,3.665,259,2341.5,0.0214493789161262,0,0,0,0,""
190,"monthly issuance",25862.5409090909,23947.0571428571,5.22727272727273,53,5,700,83033.5,"Female",1947,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,0,0,0,0,""
193,"monthly issuance",13842.7025,12847.5684210526,6.6,38,7,400,75680.1,"Male",1962,"Cheb","west Bohemia",87419,85.5,8624,1.79,2.66,102,2879,3198,0.87,2.225,319,3038.5,0.0347578901611778,0,0,0,0,""
194,"monthly issuance",4522.41333333333,4529.1,5.46666666666667,76,6,900,28434.2,"Female",1924,"Plzen - sever","west Bohemia",72541,36.9,8594,1.62,2.01,112,1580,1525,0.39,1.815,-55,1552.5,0.0214016900787141,0,0,0,0,""
195,"monthly issuance",5156.17073170732,4882.32222222223,4.21951219512195,81,7,200,40015,"Male",1919,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,0,0,0,0,""
197,"monthly issuance",6671.86875,6417.81777777778,5.875,67,7,900,38806.3,"Male",1933,"Sokolov","west Bohemia",94812,81.8,9650,3.38,3.67,100,2985,2804,0.29,3.525,-181,2894.5,0.0305288360123191,0,0,0,0,""
199,"monthly issuance",6998.36511627907,6720.335,5.58139534883721,77,7,1000,35671.1,"Male",1923,"Klatovy","west Bohemia",88757,61.7,8554,2.47,2.68,113,1822,2218,0.21,2.575,396,2020,0.0227587683224985,0,0,0,0,""
202,"weekly issuance",3570,200,1,24,4,1100,35500,"Female",1976,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,0,0,0,0,""
