"gender","birth_year","name","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","diffUnemploymant","avgUnemploymant","diffCrimes","avgCrimes","ratioCrimes","frequency","avg_mensal_income","avg_mensal_expenses","avg_transaction_count","account_age","min_balance","max_balance","amount","duration","payments","status","type"
"Male",1934,"Sumperk","north Moravia",127369,51.2,8369,4.73,5.88,107,3736,2807,1.15,5.305,-929,3271.5,0.0256852138275405,"monthly issuance",58699.7878787879,59295.3625,7.57575757575758,6,800,128844.3,NA,NA,NA,NA,NA
"Male",1940,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,"monthly issuance",17547.6352941176,16458.3466666667,3.82352941176471,5,700,75123.2,NA,NA,NA,NA,NA
"Female",1959,"Olomouc","north Moravia",226122,62.6,8994,3.8,4.79,110,9672,9208,0.99,4.295,-464,9440,0.041747375310673,"monthly issuance",25335.543902439,23975.5282051282,5.19512195121951,7,600,103726,NA,NA,NA,NA,NA
"Female",1978,"Most","north Bohemia",119895,89.9,10446,7.34,9.4,90,4947,4743,2.06,8.37,-204,4845,0.0404103590641812,"weekly issuance",34073.145,33865.358974359,6.2,7,600,94579.7,NA,NA,NA,NA,NA
"Female",1979,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,"monthly issuance",5406.01666666667,5709.68108108108,5.73809523809524,7,600,32520.4,NA,NA,NA,NA,"junior"
"Male",1924,"Ceska Lipa","north Bohemia",105058,81,9272,2.8,3.22,118,4340,4505,0.42,3.01,165,4422.5,0.0420957947038779,"monthly issuance",21788.9166666667,21659.9219512195,5.80952380952381,7,500,70709.2,NA,NA,NA,NA,NA
"Female",1948,"Jicin","east Bohemia",77917,53.5,8390,2.28,2.89,132,2080,2122,0.61,2.585,42,2101,0.0269645905258159,"monthly issuance",6435.3075,6325.72222222223,5.925,7,1100,36322.3,NA,NA,NA,NA,NA
"Male",1960,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,"monthly issuance",7534.35384615385,7720.33513513514,6,7,700,41560,NA,NA,NA,NA,NA
"Male",1957,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",9801.8,7266.66666666667,2.6,4,800,38101,NA,NA,NA,NA,NA
"Male",1980,"Bruntal","north Moravia",106054,63.1,8110,5.77,6.55,109,3244,3079,0.78,6.16,-165,3161.5,0.0298102853263432,"monthly issuance",26517.1838709677,25459.6066666667,5.70967741935484,6,1100,84913.2,NA,NA,NA,NA,NA
"Female",1948,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,"monthly issuance",4176.81818181818,4029.62564102564,4.47727272727273,7,400,29423.9,NA,NA,NA,NA,NA
"Male",1926,"Strakonice","south Bohemia",70646,58.4,8547,2.65,3.64,120,1563,1542,0.99,3.145,-21,1552.5,0.0219757664977493,"monthly issuance",38681.8024390244,38573.03,8.58536585365854,7,300,108508.9,NA,NA,NA,NA,NA
"Female",1943,"Svitavy","east Bohemia",102609,52,8187,4.83,5.45,94,2123,2134,0.62,5.14,11,2128.5,0.0207437944039996,"monthly issuance",17490.85,4800,2,4,700,34921,NA,NA,NA,NA,NA
"Male",1946,"Hradec Kralove","east Bohemia",161854,76.3,9425,1.72,2.5,125,4085,3891,0.78,2.11,-194,3988,0.0246394899106602,"monthly issuance",17932.971875,18113.9933333333,6.53125,6,900,54126.1,NA,NA,NA,NA,NA
"Male",1923,"Pardubice","east Bohemia",162580,72.8,9538,1.51,1.81,111,6079,5410,0.3,1.66,-669,5744.5,0.0353333743387871,"monthly issuance",4375.04736842105,3972.93333333333,4.10526315789474,5,700,27049.6,NA,NA,NA,NA,NA
"Male",1924,"Domazlice","west Bohemia",58400,52.4,8620,1.1,1.25,100,1089,1117,0.15,1.175,28,1103,0.0188869863013699,"monthly issuance",3528.08,3479.6,4.45,5,1000,21631.9,NA,NA,NA,NA,NA
"Female",1977,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,"monthly issuance",4276.03636363636,4224.6,2.90909090909091,4,300,23445,NA,NA,NA,NA,NA
"Female",1967,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,"monthly issuance",15794.75625,15361.7483870968,4.96875,6,900,54275.3,NA,NA,NA,NA,NA
"Female",1956,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",22560.865,21890.7368421053,5.45,5,700,74238.3,NA,NA,NA,NA,"classic"
"Female",1944,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,"monthly issuance",4770.04,700,1.4,4,600,23816,165960,24,6915,1,NA
"Female",1969,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,"monthly issuance",15838.7911764706,15456.5125,6.38235294117647,6,600,65210.7,NA,NA,NA,NA,NA
"Male",1976,"Mlada Boleslav","central Bohemia",112065,69.4,11277,1.25,1.44,127,5179,4987,0.19,1.345,-192,5083,0.0453576049614063,"monthly issuance",4003.73783783784,3935.7875,5.2972972972973,7,700,31764.7,NA,NA,NA,NA,NA
"Male",1961,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",5084.72173913043,5304.42926829269,5.04347826086957,7,1100,36365.9,NA,NA,NA,NA,NA
"Male",1975,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,"monthly issuance",20732.8,9150,2.33333333333333,4,600,61585.3,NA,NA,NA,NA,NA
"Male",1940,"Vyskov","south Moravia",86513,50.5,8288,3.79,4.52,110,1562,1460,0.73,4.155,-102,1511,0.0174655832071481,"issuance after transaction",49226.7,49225.1388888889,5.10810810810811,7,400,129812.6,NA,NA,NA,NA,NA
"Female",1966,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",42802.2,43864.0222222222,6.57894736842105,6,700,107069.6,NA,NA,NA,NA,NA
"Male",1925,"Beroun","central Bohemia",75232,41.7,8980,1.95,2.21,111,2824,2813,0.26,2.08,-11,2818.5,0.0374641110165887,"issuance after transaction",37204.68,34582.875,7.76,6,200,112710,NA,NA,NA,NA,NA
"Male",1947,"Hradec Kralove","east Bohemia",161854,76.3,9425,1.72,2.5,125,4085,3891,0.78,2.11,-194,3988,0.0246394899106602,"monthly issuance",10512.9416666667,8819.6,5.41666666666667,4,600,71708,NA,NA,NA,NA,NA
"Male",1972,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",10003.3782608696,9350.60952380953,4.91304347826087,5,500,48087.2,NA,NA,NA,NA,NA
"Female",1973,"Decin","north Bohemia",133777,84.7,8705,5.75,7.61,116,4650,4859,1.86,6.68,209,4754.5,0.0355404890227767,"monthly issuance",23889.6529411765,23791.875,8.17647058823529,6,700,75377.7,NA,NA,NA,NA,NA
"Male",1943,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,"weekly issuance",57316.4285714286,58737.5,7.14285714285714,4,1100,120331.9,NA,NA,NA,NA,NA
"Female",1968,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,"monthly issuance",13344.8882352941,12893.5466666667,4.88235294117647,5,700,49848.3,NA,NA,NA,NA,NA
"Male",1972,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",9654.6375,9293.56,3.875,4,200,44113.4,NA,NA,NA,NA,NA
"Female",1969,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",5757.96666666667,3229.8,3.33333333333333,4,1000,29668.3,NA,NA,NA,NA,"classic"
"Male",1942,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",39881.790625,38829.6387096774,5.6875,6,300,161573.6,NA,NA,NA,NA,NA
"Male",1922,"Brno - venkov","south Moravia",157042,33.9,8743,1.88,2.43,111,3659,3894,0.55,2.155,235,3776.5,0.0240477069828454,"monthly issuance",10719.4355555556,10881.9534883721,6.37777777777778,7,500,42434.7,NA,NA,NA,NA,NA
"Female",1978,"Usti nad Labem","north Bohemia",118650,85.6,9832,3.32,4.48,114,6445,5471,1.16,3.9,-974,5958,0.0502149178255373,"issuance after transaction",41225.3692307692,37664.3333333333,5.23076923076923,5,1100,133183.8,NA,NA,NA,NA,NA
"Male",1969,"Praha - zapad","central Bohemia",75637,36.5,9622,0.45,0.59,154,3475,3529,0.14,0.52,54,3502,0.046300091225194,"monthly issuance",3333.37391304348,3066.31428571429,5.69565217391304,7,800,26253.8,NA,NA,NA,NA,NA
"Female",1950,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,"monthly issuance",3480.81666666667,2687.6,3,4,300,18536.9,NA,NA,NA,NA,NA
"Female",1947,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,"monthly issuance",26576.2733333333,27126.0571428571,8.16666666666667,6,500,74106.5,NA,NA,NA,NA,NA
"Male",1953,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,"monthly issuance",9021.51428571429,6088.76,3.57142857142857,4,500,36483.7,NA,NA,NA,NA,NA
"Male",1932,"Kutna Hora","central Bohemia",77963,51.5,8546,2.95,4.02,126,2640,3120,1.07,3.485,480,2880,0.0369406000282185,"monthly issuance",25225.1909090909,24334.41,4.36363636363636,5,200,97808.3,NA,NA,NA,NA,NA
"Male",1923,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,"monthly issuance",47671.2276595745,47276.047826087,8.93617021276596,7,1100,129261.8,NA,NA,NA,NA,NA
"Male",1958,"Znojmo","south Moravia",114200,43.7,8403,5.74,5.72,105,2157,2718,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,"monthly issuance",26890.1,25106.5647058823,4.89473684210526,5,600,109950.7,NA,NA,NA,NA,NA
"Male",1978,"Brno - venkov","south Moravia",157042,33.9,8743,1.88,2.43,111,3659,3894,0.55,2.155,235,3776.5,0.0240477069828454,"monthly issuance",13863.3567567568,13156.8914285714,6.40540540540541,7,600,63498.2,NA,NA,NA,NA,NA
"Female",1961,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,"monthly issuance",18530.2777777778,18221.6285714286,4.33333333333333,4,1000,62457.3,NA,NA,NA,NA,NA
"Female",1933,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,"monthly issuance",12668.75,14089,4.1025641025641,7,400,96777.1,NA,NA,NA,NA,NA
"Female",1980,"Benesov","central Bohemia",88884,46.7,8507,1.67,1.85,132,2159,2674,0.18,1.76,515,2416.5,0.027187120291616,"monthly issuance",3073.16888888889,2974.6,5.42222222222222,7,500,26349.3,NA,NA,NA,NA,NA
"Female",1981,"Rakovnik","central Bohemia",53921,41.3,8598,2.77,3.26,123,1597,1875,0.49,3.015,278,1736,0.0321952486044398,"monthly issuance",18952.6769230769,18157.664,5.23076923076923,6,500,67012,NA,NA,NA,NA,"junior"
"Male",1933,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",8836.45263157895,8421.45555555556,7.5,7,1000,48159.2,NA,NA,NA,NA,NA
"Female",1930,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,"monthly issuance",17195.8045454545,17171.3789473684,4.90909090909091,5,800,66997.3,NA,NA,NA,NA,NA
"Female",1943,"Chomutov","north Bohemia",125236,87.7,9675,6.43,7.68,100,5323,5190,1.25,7.055,-133,5256.5,0.0419727554377336,"monthly issuance",6678.21086956522,6918.19523809524,5.28260869565217,7,200,35490.4,NA,NA,NA,NA,NA
"Male",1933,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",5463.35,6500.6,1.83333333333333,4,600,32685,NA,NA,NA,NA,NA
"Male",1968,"Domazlice","west Bohemia",58400,52.4,8620,1.1,1.25,100,1089,1117,0.15,1.175,28,1103,0.0188869863013699,"monthly issuance",9002.91086956522,8697.87441860465,5.23913043478261,7,800,50977.9,NA,NA,NA,NA,NA
"Female",1978,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,"monthly issuance",23587.26,24782.25,4.2,4,800,68893.3,NA,NA,NA,NA,NA
"Male",1953,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,"monthly issuance",5007.83,4888.87777777778,5.05,7,900,31744.5,NA,NA,NA,NA,NA
"Female",1918,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,"monthly issuance",23171.0159090909,22487.1023255814,5.65909090909091,7,800,63811.9,NA,NA,NA,NA,NA
"Male",1978,"Praha - vychod","central Bohemia",92084,46.7,10124,0.56,0.54,141,3810,4316,-0.02,0.55,506,4063,0.0441227574822988,"weekly issuance",44625.2894736842,42392.6666666667,6.42105263157895,5,1100,131889.2,NA,NA,NA,NA,NA
"Male",1929,"Kladno","central Bohemia",149893,67.4,9753,4.64,5.05,109,5244,5892,0.41,4.845,648,5568,0.0371464978351224,"monthly issuance",19169.7333333333,8800,2.33333333333333,4,900,55711.1,NA,NA,NA,NA,NA
"Male",1982,"Opava","north Moravia",182027,56.4,8746,3.33,3.74,90,4355,4433,0.41,3.535,78,4394,0.0241392760414664,"issuance after transaction",39057.075,20266.6666666667,4.25,4,200,107571.6,NA,NA,NA,NA,NA
"Male",1967,"Sumperk","north Moravia",127369,51.2,8369,4.73,5.88,107,3736,2807,1.15,5.305,-929,3271.5,0.0256852138275405,"monthly issuance",25568.3897435897,26023.3837837838,5.12820512820513,7,200,112359,NA,NA,NA,NA,NA
"Female",1978,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",3439.9,3463.37419354839,4.62857142857143,6,600,23672.6,NA,NA,NA,NA,NA
"Male",1954,"Vsetin","north Moravia",148545,53.5,8909,4.01,5.56,113,3460,3590,1.55,4.785,130,3525,0.0237301827728971,"monthly issuance",6353.67021276596,5755.50909090909,5.70212765957447,7,300,73884.4,NA,NA,NA,NA,NA
"Male",1919,"Praha - zapad","central Bohemia",75637,36.5,9622,0.45,0.59,154,3475,3529,0.14,0.52,54,3502,0.046300091225194,"monthly issuance",11794.6263157895,11657.3529411765,5.10526315789474,5,5496,43338.7,NA,NA,NA,NA,NA
"Female",1947,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,"issuance after transaction",44940.1333333333,38146.6,5.16666666666667,4,200,103239,NA,NA,NA,NA,NA
"Male",1919,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",5871.26744186046,5393.71282051282,4.76744186046512,7,700,51182.2,NA,NA,NA,NA,NA
"Male",1933,"Sokolov","west Bohemia",94812,81.8,9650,3.38,3.67,100,2985,2804,0.29,3.525,-181,2894.5,0.0305288360123191,"monthly issuance",5705.0875,4439.45,2.625,4,600,32061.1,NA,NA,NA,NA,NA
"Male",1976,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,"monthly issuance",21548.2333333333,15284.32,3.16666666666667,4,900,81957.5,NA,NA,NA,NA,NA
"Male",1923,"Rokycany","west Bohemia",45714,55.6,8843,2.82,3.6,113,818,888,0.78,3.21,70,853,0.0186594916218226,"monthly issuance",2800,2057.14285714286,1,5,1100,20700,NA,NA,NA,NA,NA
"Male",1962,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,"monthly issuance",4348.35714285714,3020,1.85714285714286,4,300,29988,NA,NA,NA,NA,NA
"Female",1942,"Kladno","central Bohemia",149893,67.4,9753,4.64,5.05,109,5244,5892,0.41,4.845,648,5568,0.0371464978351224,"monthly issuance",33501.32,33860.7333333333,5.8,4,900,89664.9,NA,NA,NA,NA,NA
"Male",1932,"Nachod","east Bohemia",112709,73.5,8369,1.79,2.31,117,2854,2618,0.52,2.05,-236,2736,0.0242749026253449,"monthly issuance",4555.71276595745,4601.02857142857,4.78723404255319,7,900,28892.5,NA,NA,NA,NA,NA
"Male",1967,"Novy Jicin","north Moravia",161227,69.7,8678,5.93,5.57,102,4980,4595,-0.359999999999999,5.75,-385,4787.5,0.0296941579264019,"monthly issuance",6398.8225,6246.12777777778,4.725,7,500,32376.4,NA,NA,NA,NA,NA
"Female",1974,"Kromeriz","south Moravia",108871,62.1,8444,3.24,3.47,106,2595,2305,0.23,3.355,-290,2450,0.0225036970359416,"monthly issuance",3462.22558139535,3464.44210526316,6.41860465116279,7,500,23301.2,NA,NA,NA,NA,NA
"Female",1964,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,"monthly issuance",6130.54545454546,1906.70526315789,4.81818181818182,5,1900,98659.1,NA,NA,NA,NA,NA
"Female",1977,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,"monthly issuance",6292.1725,6463.50270270271,6.475,7,1000,34425.3,NA,NA,NA,NA,NA
"Female",1952,"Hradec Kralove","east Bohemia",161854,76.3,9425,1.72,2.5,125,4085,3891,0.78,2.11,-194,3988,0.0246394899106602,"monthly issuance",6847.34444444444,7872.4,4.55555555555556,4,1100,35745.9,NA,NA,NA,NA,NA
"Male",1936,"Ceska Lipa","north Bohemia",105058,81,9272,2.8,3.22,118,4340,4505,0.42,3.01,165,4422.5,0.0420957947038779,"monthly issuance",14892.51,14934,5.275,7,400,53038.7,NA,NA,NA,NA,NA
"Male",1942,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",15155.6096774194,13784.6413793103,5.51612903225806,6,900,71202.7,NA,NA,NA,NA,NA
"Female",1926,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,"monthly issuance",6505.90714285714,5854.36363636364,4.78571428571429,5,300,38531.8,NA,NA,NA,NA,NA
"Female",1967,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",25862.5409090909,23947.0571428571,5.22727272727273,5,700,83033.5,NA,NA,NA,NA,NA
"Female",1958,"Jesenik","north Moravia",42821,48.4,8173,7.01,7.01,124,1358,1358,0,7.01,0,1358,0.0317134116438196,"monthly issuance",13842.7025,12847.5684210526,6.6,7,400,75680.1,NA,NA,NA,NA,NA
"Female",1943,"Chrudim","east Bohemia",105606,53,8254,2.79,3.76,97,2166,2325,0.97,3.275,159,2245.5,0.0212629964206579,"monthly issuance",4522.41333333333,4529.1,5.46666666666667,6,900,28434.2,NA,NA,NA,NA,NA
"Male",1961,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,"monthly issuance",5156.17073170732,4882.32222222223,4.21951219512195,7,200,40015,NA,NA,NA,NA,NA
"Female",1974,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",6671.86875,6417.81777777778,5.875,7,900,38806.3,NA,NA,NA,NA,NA
"Male",1959,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,"monthly issuance",6998.36511627907,6720.335,5.58139534883721,7,1000,35671.1,NA,NA,NA,NA,NA
"Male",1957,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",13821.775,12122.1857142857,4.5625,5,500,59837.7,NA,NA,NA,NA,NA
"Female",1969,"Trebic","south Moravia",117897,53.8,8814,4.76,5.74,107,2112,2059,0.98,5.25,-53,2085.5,0.0176891693596953,"monthly issuance",20004.3,14545.84,3.83333333333333,4,1000,67012.8,NA,NA,NA,NA,NA
"Female",1979,"Mlada Boleslav","central Bohemia",112065,69.4,11277,1.25,1.44,127,5179,4987,0.19,1.345,-192,5083,0.0453576049614063,"monthly issuance",6132.24285714286,4927.26666666667,3.42857142857143,4,500,33191.9,NA,NA,NA,NA,NA
"Female",1976,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,"monthly issuance",24082.7170731707,24349.7846153846,5.73170731707317,7,700,78888.7,NA,NA,NA,NA,NA
"Female",1947,"Rychnov nad Kneznou","east Bohemia",78955,59,9060,1.78,2.44,124,1655,1717,0.66,2.11,62,1686,0.0213539357862073,"monthly issuance",16235.1428571429,14271.7666666667,4.28571428571429,7,500,57865.3,NA,NA,NA,NA,NA
"Male",1978,"Plzen - sever","west Bohemia",72541,36.9,8594,1.62,2.01,112,1580,1525,0.39,1.815,-55,1552.5,0.0214016900787141,"weekly issuance",26252.7027027027,25995.9388888889,5.27027027027027,7,-2335.4,82592.4,NA,NA,NA,NA,NA
"Female",1967,"Prachatice","south Bohemia",51428,52.7,8402,3.13,3.98,120,999,1099,0.85,3.555,100,1049,0.0203974488605429,"monthly issuance",11582.6285714286,7257.84,3.42857142857143,4,200,52500.8,NA,NA,NA,NA,NA
